CNPJ_BASICO,RAZAO_SOCIAL,NATUREZA_JURIDICA,QUALIFICAO_RESPONSAVEL,CAPITAL_SOCIAL_EMPRESA,PORTE_EMPRESA,ENTE_FEDERATIVO_RESPONSAVEL
00000000,BANCO DO BRASIL SA,2038,10,"90000023475,34",05,
00000001,ASSOCIACAO DE AMIGOS DE BAIRRO DO CONJ PAULISTANO,3999,16,"0,00",05,
00000002,WM&R EMPREITEIRA DE CONSTRUCAO CIVIL LIMITADA,2240,49,"0,00",05,
00000003,CASA CARIDADE LUZETE ROBERTA DE MORAIS CONJ PAULISTANO,3999,16,"0,00",05,
00000004,ASSOCIACAO DO PEQUENO ADOLECENTE DO CONJ PAULISTANO,3999,16,"0,00",05,
00000005,SERRALHERIA PORTA DE ACO REAL S/C LTDA,2240,28,"0,00",05,
00000006,ACADEMIA DE BALLET PAULA FIRETTI LTDA,2062,49,"1000,00",01,
00000007,ADVOCACIA BERGANTIN E ASSOCIADOS,2240,49,"0,00",01,
00000008,A.R. ZANOTI E SILVA S/C LTDA,2240,49,"0,00",01,
00000009,SUWAN REPRESENTACOES LTDA,2240,49,"0,00",01,
00000010,ADUB SERVICOS GERAIS DE AUTOS LTDA,2240,28,"0,00",05,
00000011,KAWANISHI MANUTENCAO ELETRICA INDUSTRIAL S/C LTDA,2240,49,"0,00",01,
00000012,APARTH ADMINISTRACAO S/C LTDA,2240,49,"0,00",05,
00000013,SAMPAIO SERVICOS CONTABEIS LTDA,2240,49,"0,00",01,
00000014,CLUBE DE MAES DA CASA VERDE ALTA E ADJACENCIAS,3999,16,"0,00",05,
00000015,DOS - INSTALACAO DE SISTEMAS DE AUDIO E VIDEO S/S LTDA,2240,49,"0,00",01,
00000016,MICRO-ARTE COMUNICACOES VISUAIS LTDA,2062,49,"10000,00",05,
00000017,ASSOCIACAO VIVER EM CRISTO,3999,16,"0,00",05,
00000018,AUTOMAR AGROPECUARIA DO URUCUIA LIMITADA,2062,49,"0,00",05,
00000019,DOCENA & DOCENA CONSULTORES EM INFORMATICA E ASSOCIADOS LTDA,2062,49,"362,00",05,
00000020,ASSISTEC.SYS MANUTENCAO DE MICROINFORMATICA S/C LTDA,2240,28,"0,00",05,
00000021,OMEGA ASSESSORIA DE SERVICES E SEGURANCA S/C LTDA,2240,49,"0,00",05,
00000022,SIMTEC INFORMATICA S/C LTDA,2240,49,"0,00",01,
00000023,CAMACHO E FERIGOLLI INFORMATICA S/C LTDA,2240,49,"0,00",05,
00000024,CAIXA DE CUSTEIO DA EEPSG PROF JACOMO STAVALE,3999,16,"0,00",05,
